,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
A,D,D,D,D,n2, , ,D,D,D, , , , ,e2,D,D,D,D, , ,D,D,D,D,D, , ,e2,D,D,D,D, , ,D,D, , , , , 
B,D,e1, , , ,n1,n1,n1,n1, , , , , ,D,e1,D,D,D, , ,D,D,D,D,e1, , ,D,e1,D,e1,D, , , ,D,D,D,e1, , 
C, , ,D,e1,n1,n1, , , ,e1,D,n2, , ,e1,D,e1,D,e1, , ,D,D,e1,e1,D, , ,e1,e1,D,D,D, , ,e1,D,e1,D, , , 
D,e2,D,e1,e1, , , , , ,D,D,e1,n2, , , ,e1,e1,D,e1,D, , ,D,e1,D,D,D, , ,D,D,D, , ,D,e1,D,D,D, , 
E,D,D,D,D,e1, , ,D,n1,n1,n1,n1, , ,D,e1,D,e1,D, , ,D,e1,D,e1,D, , , , , , , , , , , ,D,D,D,e1,e1
F,D,D,D,D,L, , , , , , , , , ,D,D,D,D,L, , ,L,L,L,L,L, , ,D,D,D,D,D, , ,D,D,D,D,D, , 
G,L,L,L,L,L, , ,D,L,L,L,L, , ,L,L,L,L, , ,D,e1,D,e1,e1, , , ,e1,D,e1,e1,e1, , , , , ,D,e1, , 
H,D,D,D,e1, , , , , ,D,e1,e1, , ,e1,D,D,D,e1, , ,D,e1,D,D,e1, , ,D,D,D,e1,e1, , ,e1,D,e1,D,e1, , 
I,D,D,L, , ,D,L,L,L,L, , ,D,L,L,L,L, , , , ,L,L,L,L,L, , ,e1,n1,n1, , , , ,e1,D,D,D,D, , 
J,L,L,n1,n1,n1, , , , , ,D,D,e1,e1,D, , ,D,e1,D,e1, , , ,D,e1, , ,e1,D,L,L,L, , ,L,L,L,L,n1, , 
K,D,e1,e2,L,L, , ,e2,D,D,e1,L, , , , , ,D,e1, , ,e1,L,L,L,L, , ,e1,D,e1,e2,D, , ,D,L,L, , , , 
L,D,e1, , , , , ,D,D,D,D,D, , ,e1,e1,e1,D,D, , ,e1,e1, , , , , ,D,e1,D,D,D, , ,D,e1,e1,D,D, , 
M, , , ,D,L, , ,L,L,L, , , , ,n1,n1,n1,n1, , , ,D,D,D,L,n2, , ,e2,D,D,D,D, , ,D,L,L,L,L, , 
N,L,L,L,L, , , ,e1,D,L,L,L, , , , ,e1,D,L,L,L, , ,D,D,e1, , ,L,L,L,n2, , , ,D,D,D,D,L, , 
O,L,L,L, , , , ,e1,n1,n1,n1,n1, , ,e1,D,e1,e1,D, , ,L,L,L,L,L, , , , , ,e1,L,L,L,L, , , , , , 
P,D,L,L, , , , ,D,L,L,L,L, , ,n1,n1,n1,n1, , , ,D,D,D,L,L, , ,L,L,L,L, , , , ,D,L,L,L,L, 
Q, , , , , , , , ,D,D,D,D, , ,D,D,D,n2, , , ,D,e1,D,e1,D, , , , ,D,D,D, , ,D,D,e1,e2,e1, , 
R,e1,D,e1,D, , , ,e1,D,D,D,D, , , ,e1,D,e1,D, , ,D,D,D,D,D, , ,D,D,e1,D, , , ,e1,D,D,D,D, , 
S,e2,e1,n1,n1,n1, , , , , , ,D,D,e1,e2,D, , , , , ,e2,D,D,n1, , , ,D,D,e1,e1,D, , ,D,D,e1,e1,e1, , 
T, , , , , ,e2,D,e1,D,e1, , , , ,L,L,L,L,n2, , ,D,L,L,L,L, , ,e1,D,e1,D,n2, , ,D,L,L,L,L, , 
U,L,L,L,L, , , , , ,L,L,L, , ,D,L,L,n2, , , ,D,e1,D,D,e1, , ,L,L,L,n2, , , ,e1,D,e1,D,D, , 
V,L,L,L,L,L, , ,e1,D,D,D,e1, , , , , ,L,L, , ,e1,D,L,n1,n1, , ,D,e1,D,D,L, , ,n2,n1,n1, , , , 
W,D,L,L,L,n2, , ,D,D,D,D,L, , ,e2,D,D,L,L, , ,L,L,L,L,L, , , , , , , , , , , ,e2,D,D,L,n2
X,L,L,L,L,L, , , , , ,D,L, , , ,D,L,L,n1, , ,D,D,D,D,D, , ,D,D,D,L,L, , ,n2,n1,n1,n1, , , 
Y,L,L,L,L, , , ,n1,n1,n1,n1, , , ,D,D,D,L,L, , ,D,D,e1,D,D, , ,D,L,L,L,L, , , , ,e1,D,D, , 
Z,e1,e1,L,L,L, , , ,D,e1, , , , ,D,L,L,L,L, , ,D,e1,e1,D,L, , ,e1,L,L,L,L, , ,D,e1,D,D,D, , 
AA,D,e1,D,e1,D, , , , , ,D,D, , ,D,D,D,e1,D, , ,D,D,D,D,D, , ,e1,D,D,D,e1, , ,e1,D,D,e1,e1, , 
