,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
A,L,L,L,L, , , ,L,L,L,L,L, , ,E,E,L,L,L, , ,D,L,L,L,L, , ,D,L,L,L, , , , ,E,E,E,D, , ,L,L,L,L,L, , ,L,L,L, , , , 
B,L,L, , , , , ,E,D,D,D,L, , ,E,E,D,L,L, , ,D,D,D,D,L, , ,L,L,L,L,L, , ,E,E,L,L,L, , ,D,L,L,L,L, , , , ,D,D,D, , 
C,L,L,L, , , , ,E,E,E,E,L, , ,E,L,L,L,L, , ,E,L, , , , , ,E,L,L,L,L, , ,E,L,L,L,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , 
D,E,E,E,D,D, , ,D,D,D,D,D, , , , , , , , , ,E,D,D,D,D, , ,D,D,D,D,D, , ,E,D,D,D,D, , ,E,E,D,D,D, , ,E,E,E,D,D, , 
E,D,L,L,L,L, , , , , , , , , ,D,L,L,L,L, , ,D,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,D,D,L,L,L, , ,D,D,L,L,L, , 
F,E,E,D,L, , , ,L,L,L,L,L, , ,E,E,E,D,D, , ,E,L,L,L,L, , ,L,L,L,L,L, , ,D,D, , , , , , ,E,D,D,D, , ,E,D,D,D,D, , 
G,L,L, , , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L, , , , ,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , 
H,D,D,L,L,L, , ,E,L,L,L,L, , , , , , ,L,L,L,L,L, , , ,D,L,L,L,L, , , , ,D,D,L,L,L, , ,E,D,L,L,L, , ,E,L,L,L,L, , 
I,D,D,D,D, , , ,D,D,D,D,D, , ,D,D,D, , , , , , ,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , 
J,D,L,L,L,L, , ,D,L,L,L,L, , ,D,L,L,L,L, , ,D,D,L,L,L, , ,D,D,L,L,L, , , , , , , ,D,D,D,L,L, , , , ,L,L,L,L,L, , 
K,L,L,L,L, , , ,D,L,L,L,L, , ,D,L,L,L,L, , ,L,L, , , , , , ,E,L,L,L, , ,L,L,L,L,L, , ,E,D,D,D,D, , ,D,L,L,L,L, , 
L,D,D,D,D,D, , ,D,D,D,D,D, , , , , , , , , , , , ,D,D, , ,D,D,D,D,D, , , , , ,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , 
M,L,L,L,L, , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L, , , , , , ,L,L, , 
N,E,D,D, , , , ,E,L,L,L,L, , ,E,D,D,L,L, , ,E,D,D,D,D, , , , ,L,L,L,L,L, , ,D,D,L, , , ,L,L,L,L, , ,E,E,E,E,L, , 
O,E,E,D, , , , ,E,L,L,L,L, , ,D,L,L,L,L, , ,E,D,D,D,D, , , , , ,D,D, , ,D,L,L,L,L, , ,D,D,L,L,L, , ,D,D,L,L,L, , 
P,L,L,L, , , , ,D,L,L,L,L, , ,D,D,L,L,L, , ,D,L,L,L,L, , ,D,D,L, , , , ,L,L,L,L,L, , ,D,D, , ,D,L,L, , , ,D,D,L,L
Q,D,D,D,D, , , ,D,D,D,D,D, , ,D,D,D,D, , , , , , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , 
R,E,E, , ,L,L,L,L,L, , , , , ,D,L,L,L,L, , ,E,E,E,L,L, , ,L,L,L,L,L, , , , ,L,L,L, , ,D,L,L,L,L, , ,D,L,L,L,L, , 
S,E,D,L,L,L, , ,L,L,L,L,L, , ,E,E, , , , , ,D,L,L,L,L, , ,D,L,L,L,L, , , , , , ,D,L,L,L,L, , ,E,E,D,D,D, , , , , 
T,E,D,L,L,L, , ,L,L,L,L, , , ,D,D,L, , , , ,E,D,D,L,L, , , , ,L,L,L, , ,D,L,L,L,L, , ,L,L,L,L,L, , ,D,L,L,L,L, , 
