NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A, ,a1,a1,a1,a1,a1, , , ,a1,a2,d1, , ,a1,a1,a1,a2,a3, , ,a2,a1, , ,a1,a1,a2
B,d3,p1, , ,a1,d3,p2,p2, , ,a2,a2,a2,a2,a2, , ,d1,d1, , ,d1,d3,p2,p2, , , 
C,p1,p1, , ,a3,d2,d3,p2, , ,p2,p2,p1,p1,p1, , ,p1,p1, , ,a3,d3,d2,d2,p1, , 
D,p2,p3,p3,p2,p2, , ,d1,d3,d3,d3, , , ,a1,d1,d3,p3, , ,p2,p2,p2, , , ,d1,d1
E, , ,p1,p3,p3, , ,d1,d1,d2,p1,n1, , ,d1,d3,d3,d3, , ,a1,a1,a3,a3, , ,a3,a1
F,p1,p2,p2,p1,p1, , ,p1,p1,p1, , ,a1,a1,a1, , , ,d1,d1,p2,p1, , ,a3,a1, , 
G,a1,d1,p1, , ,a3,a3,a3,a3,a3, , , , ,a1,a1,d1,d3,d3, , , ,a3,d3,d1,d2,p2, 
H,a3,a3,a3, , ,a2,a2,d1, , ,a1,a2, , ,p2,p1,p3,p3,p3, , , , ,a1,a1,a3,a3,a1
I, ,a2,a2,a2,a2, , , , ,p2,p2,p2,p2,p2, , ,a3,d3,d2,d2,n1, , , ,a3,a3, , 
J,a1,a2,n1, , ,a3,p3,p3,p3,p3, , , , ,a2,a2,a2,a3, , , ,n1,n1,n1, , ,a2,a1
K, ,d3,d2,d2,d3, , ,a2,a2,a2,a2,d3, , ,d2,p2, , , ,a3,d2, , ,a3,a2,a2,a2,a3
L,d2,d2,d2,d2,d2, , ,a1,a1,d2, , ,n1,n1,n1, , ,a1,a1, , ,a3,n1, , , ,d2,d2
M,d2,p2,p1, , ,a2,a2,d2, , ,d2,d3, , ,d2,d3,d2,d2, , ,a2,d2,d2,d3,p2, , , 
N,a1,d1, , ,a3,a1,a1,n1, , ,d1,p1, , ,d2,p3,p1, , ,n1,n1,n1, , ,d1,d1, , 
O,p3,p3,n1, , ,p3,p2, , ,p3,p3,p3,p3,p3, , ,a1,a2, , , ,a2,a1,a2,n1, , , 
