NurseID, 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 
A,  ,  , d5 , p2 , p2 , p2 , p4 ,  ,  ,  , a5 , p3 , p3 , p3 , p3 ,  ,  , d5 , p3 ,  ,  , a5 , p4 , p4 ,  ,  ,  ,  
B, a5 , p2 , n3 ,  ,  , d3 , d5 , p1 , p1 , p1 ,  ,  ,  ,  ,  , a2 , d3 , a5 ,  ,  , a2 , a2 , a2 , a2 , d3 ,  ,  ,  
C, p2 , p5 ,  ,  , a1 , a2 , a5 , p5 ,  ,  ,  , a1 , a1 , a1 , a5 , n2 ,  ,  ,  ,  ,  , a2 , p2 , n3 , n2 ,  ,  ,  
D,  ,  ,  , a4 , d3 , d4 , d2 , p3 ,  ,  , d2 , d3 ,  ,  , p4 , p4 , p4 , p4 , p3 ,  ,  ,  ,  ,  , p4 , p4 , p3 , p3 
E,  , p5 , p2 , p5 ,  ,  ,  , d3 , n3 ,  ,  ,  ,  ,  , p1 , p2 , n1 ,  ,  , d5 , n2 , n1 ,  ,  , a3 , a1 , d5 , p1 
F, p4 , p3 , p4 ,  ,  , p5 , p2 , p5 , n2 ,  ,  , d1 , d2 , d5 ,  ,  ,  , a3 , d5 ,  ,  ,  ,  , a3 , a2 , a2 ,  ,  
G, n1 ,  ,  , a3 , p1 ,  ,  , a2 , a2 , a3 , n3 ,  ,  ,  , p2 , p2 , p2 ,  ,  , p3 , n2 , n2 ,  ,  , p3 , p1 , p2 , p3 
H, d5 ,  ,  , a2 , d5 ,  ,  , d1 , d5 , p4 , p5 ,  ,  ,  ,  ,  ,  ,  , a3 , a2 , a2 , a3 , p3 ,  ,  , d1 , d5 , p4 
I,  ,  , d1 , d2 , d1 , d1 , d1 ,  ,  , d2 , d2 , a5 ,  ,  ,  , a2 , a1 , p2 , p1 ,  ,  , d2 , a5 , n1 ,  ,  , d2 , d1 
J, p5 , p3 , p5 , p3 , p5 ,  ,  ,  ,  ,  , d2 , p2 , p2 , p2 , p2 ,  ,  ,  , a3 , a2 , a3 , a1 ,  ,  , a1 , n2 ,  ,  
K, n2 ,  ,  ,  , p4 , p4 , p2 , n1 ,  ,  , p2 , p1 ,  ,  , d3 , d3 , d3 , n1 , n1 ,  ,  ,  ,  , d2 , p4 , p1 , p1 , p1 
L, a4 , d1 ,  ,  , a5 , p4 ,  ,  , d1 , d1 , d4 , d4 ,  ,  ,  ,  ,  , a1 , d2 , d2 , d2 , d2 ,  ,  , d2 , a5 ,  ,  
M,  ,  , a2 , a1 , a2 ,  ,  , a3 , a1 , a1 , d4 , d4 ,  ,  , a5 , n1 ,  ,  , d1 , n1 ,  ,  ,  ,  , a1 , a2 , d5 , p4 
N, d3 , d3 , a5 ,  ,  , a5 , p1 , p4 ,  ,  , a5 , p2 ,  ,  ,  , a1 , n2 ,  ,  , a2 , d4 , n2 ,  ,  , a5 , p2 ,  ,  
O,  , n3 , n2 ,  ,  , a3 , a3 , a3 , a1 , d5 ,  ,  , a4 , a3 , n2 ,  ,  , p3 , p3 ,  ,  , a4 , a3 , a3 , p3 ,  ,  ,  
P, d4 , d2 , d5 , p2 , p2 ,  ,  , a4 , a3 , p5 ,  ,  , a1 , a2 , p3 , p5 , p3 ,  ,  ,  ,  ,  ,  ,  ,  ,  , n1 , n1 
Q,  ,  , a1 , a5 , n2 ,  ,  , p1 , p5 , p1 ,  ,  , d1 , d2 , d2 , d5 ,  ,  , a1 , p4 , p3 ,  ,  , d2 , p1 , p3 ,  ,  
R, a5 , n3 , n1 , n3 ,  ,  ,  ,  ,  ,  , a4 , a4 , p5 , p3 ,  ,  , a2 , p3 , p3 ,  ,  ,  , d4 , d1 ,  ,  , p3 , p3 
S, d1 ,  ,  , p3 , p3 , p3 , p3 ,  ,  , a3 , d5 ,  ,  ,  , a2 , a4 , a1 , a3 ,  ,  , a1 , p5 , p2 , p2 , p5 ,  ,  ,  
T, a3 ,  ,  , d5 , n1 ,  ,  ,  ,  , p5 , p1 , p5 ,  ,  , a1 , a2 , a2 ,  ,  , a1 , d1 , n1 , n1 ,  ,  , a2 , d1 , d5 
U,  , a3 , a4 , d3 ,  ,  ,  , p1 , p5 ,  ,  , a3 , n2 , n2 ,  ,  ,  , a2 , a2 , a5 , p4 , n3 ,  ,  , a4 , a4 ,  ,  
V, n3 ,  ,  ,  ,  , a1 , a1 , d2 , d2 , d2 ,  ,  ,  , d5 , p4 , p4 , p4 , p4 ,  ,  ,  , d5 , p1 , p4 , n2 ,  ,  ,  
W,  ,  , d1 , d3 , d3 ,  ,  , a1 , d1 , d1 , d1 ,  ,  ,  , a5 , p3 ,  ,  , a1 , p5 , p3 , p5 , n3 ,  ,  ,  , d3 , d3 
X,  , a2 , a5 , n3 , n1 ,  ,  , p3 , p3 ,  ,  , d3 , d5 , p3 , p3 , p4 ,  ,  , d4 , d4 , d4 , n3 ,  ,  ,  ,  ,  ,  
Y, d5 ,  ,  , a4 , a1 , d2 , d5 ,  ,  , p4 , p1 , p1 , p1 ,  ,  , p1 , p3 ,  ,  ,  ,  , a1 , d2 , p1 , p1 ,  ,  ,  
Z, d3 , d4 , d4 , d5 , p4 ,  ,  ,  ,  , a1 , a1 , a1 , a1 , d5 ,  ,  ,  ,  , p5 , p1 , p5 , p1 , n2 ,  ,  ,  ,  ,  
AA, d2 , d2 , d2 ,  ,  , n3 , n1 ,  ,  , a5 , p2 ,  ,  ,  , d5 , p3 , p5 ,  ,  ,  ,  , n3 , n2 , n2 ,  ,  , p1 , p3 
