,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,L,L,L, , , , ,D,D,L,L,L, , , , ,E,E, , , ,L,L,N,N,N, , 
B,E,L,L, , , , ,E,E, , , , , ,L,L,L,L,L, , ,L,L,L,L,L, , 
C,D,D, , , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L, , , , 
D,L,L, , , , , ,D,L,N,N, , , , ,D,L,L,L, , ,D,L,L,L,L, , 
E,E,D,D, , , , ,E,E,E,E,D, , ,D,D, , , , , ,E,D, , ,D,D,D
F,E,D, , , , , ,E,D,D,D,D, , , , ,D,D,D, , ,D,D,D,D,N, , 
G,E,E, , , , , ,E,E,D, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , 
H,E,L, , , , , ,E,D,L,L, , , ,E,E,L,L, , , ,E,D,L,L,N, , 
I,D,L,L,L,N, , , , , ,E,L,L,L,L, , , , , ,N,N,N,N, , , , 
J,L,L, , , , , ,L,N,N,N,N, , ,L,L,L,L,L, , , , , ,D,L, , 
K, , , , , , , ,L,L,L,L, , , ,E,L,L,N, , , ,E,E, , , ,L,L
L,L,L, , , , , , ,L,L, , , , ,L,L,L,L, , , ,L,N,N,N, , , 
M,L,L, , , , , ,D,D,L,L, , , ,D,L,N,N, , , , , ,L,L, , , 
N,D,L, , , , , ,E,L,L,L, , , ,E,D,D,D, , , , , ,D,L, , , 
O,D,D,L,L, , , , , , , , , , ,L,L,L,L, , , ,L,N,N,N, , , 
P,E,E, , , , , , ,E,D, , , , ,N,N,N,N, , , ,D,D,D,D, , , 
Q,L,L,L,L, , , , , , , , , , , , , , , , , ,L,L,L, , ,L,L
R,E, , , , , , ,E, , , , , , , , ,D,D, , , ,L,L,L,L,L, , 
S,D, , , , , , ,D, , , , , , ,D,D, , , , , ,E,D,D,D,D, , 
T,L, , , , , , ,L, , , , , , ,D,D,L, , , , ,L,L,L,L, , , 
U, , , , ,L, , ,D, , , , , , , ,N,N, , , , ,D,L,L,L,L, , 
V,D, , , , , , , , , , , , , ,E,D,D,D, , , , , , ,D,D,D,D
W, , ,L, , , , ,L, , , , , , , ,L,L, , , , ,L,L,L,L,L, , 
X,L, , , , , , , , , , , , , ,L,L, , ,E,L,L, , ,D,L,L, , 
Y,L, , , , , , ,D, , , , , , ,D,L, , , , , ,E,L,L,L,L, , 
Z,E, , , , , , , , ,E, , , , ,E,D, , , , , ,E,D,D,D,D, , 
AA,L, , , , , , ,L, , , , , , ,N, , , , , , ,L,L, , , , , 
AB, ,D, ,D, , , ,D, , , , , , , , , , , , , , , , , , ,N,N
AC,D, , , , , , , ,D, , , , , ,D, ,D, , , , ,L, , , , , , 
AD,D, , , , , , , , , , , , , ,D, , , , , , ,D, , , , ,E,E
AE,D, , , , , , , , , , , , , , ,E, , , , , , , , , ,D,D,D
AF,D, , ,E, , , , , ,E, , , , ,L,L, , , , , , , , , , , , 
AG,D, , ,L, , , ,L,L,L, , , , , , , , , , , , , , , , , , 
AH,L, , , , , , , , , , , , , , , , , , , , , , , ,E,D,L,L
AI,L, , , , , , , , , , , , , , ,L,L,L,L, , , , , , , , , 
AJ, ,E, , , , , , , , , ,E, , , , , ,L, , , ,E, , , , , ,E
