,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,D,D,D,D, , , ,D,D,D,D,D, , ,D,D,D,D, , , ,E,E,E,E,E, , 
B,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L, , , , 
C,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , , , , ,D,L, , 
D,D,D,D, , , ,D,D,D,D,D, , , ,E,D,D,D,D, , ,D,D,D,D,D, , 
E,E,L,L,L,L, , ,D,L,L,L,L, , ,E,E,E,L,L, , , , , ,D,D, , 
F,E,E,E,L, , , ,E,E,E,L, , , ,E,E,E,E,E, , ,L,L,L,L,L, , 
G,E,L,L,L,L, , ,L,L,L,L,L, , , , , ,E,E, , ,E,E,L,L,L, , 
H,L,L,L,L, , , , , , ,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , 
I,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , , , , ,D,D,D,D,D, , 
J,E,E,E,L,L, , ,E,L,L,L,L, , , , ,E,L,L, , ,E,L,L,L,L, , 
K,L,L,L,L, , , ,D,D,L,L,L,L, , , , , , ,D,L,L,L,L,L, , , 
L,E,D,L,L, , , ,L,L,L,L, , , ,E,D,D,L, , , ,E,D,D,D, , , 
M,E,D, , , , , ,E,D,D,L, , , ,L,L,L,L,L,L, , , , ,D,D,L,L
N,D,L,L,L, , , ,E,E,E,E,E,D, , , , , , ,D,D,D,D,D,D, , , 
O, , , ,E,D,L,L,L,L, , , ,E,L,L,L,L,L, , , ,E,D,L,L, , , 
P,D, , , , , , ,D, , , , , , ,L,L,L,L, , , ,D,L, , ,E, , 
Q,D, , , , , , ,D, , , , , , ,E, , , ,E,E,D,D,D, , ,D, , 
R,D, , , , , , ,E, , , , , , ,D,D, , , , , ,E,L,L,L,L, , 
