,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
A,E,E,L, , , , ,L,L,L,L,L, , ,E,L,L,L,L, , ,E,E,L,L,L, , 
B,E,E,E,E, , , ,E,E,E,E, , , ,E,E, , ,E,E,E,E,E, , ,E,E,E
C,L,L,L,L, , , ,E,L,L,L,L, , , ,L,L,L,L, , ,E,E,L,L,L, , 
D, , , ,L,L, , ,L,L,L,L,L, , ,E,E,L,L,L, , ,L,L,L,L,L, , 
E,E,E,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,E, , , , , 
F,L,L,L,L,L, , , , ,L,L,L, , ,L,L,L, , , , ,L,L,L,L,L, , 
G,L,L,L,L, , , ,E,E,L,L,L, , ,E,E,E,E,L, , ,L,L,L,L, , , 
H,E,L,L,L,L, , ,L,L,L, , , , ,E,L,L,L,L, , ,L,L,L,L,L, , 
I,L,L,L, , , , ,E,E,L,L,L, , ,E,E,L,L,L, , ,L,L,L,L,L, , 
J,E,L,L,L,L, , ,L,L,L,L,L, , ,E,E,E,E,L, , , ,E,E, , , , 
